
.=================================================.
|       Welcome to use the orzdba tool !          | 
|          Yep...Chinese English~                 |
'=============== Date : 2016-12-09 ==============='

HOST: CentOS   IP: 127.0.0.1
DB  : performance_schema|sysbench
Var : binlog_format[ROW] max_binlog_cache_size[2G] max_binlog_size[500M] 
      max_connect_errors[65536] max_connections[90500] max_user_connections[90000] 
      open_files_limit[452505] sync_binlog[1000] table_definition_cache[65536] 
      table_open_cache[2000] thread_cache_size[256] 

      Warning:[Using] innodb_adaptive_flushing[ON] innodb_adaptive_hash_index[ON] 
      innodb_buffer_pool_size[100G] innodb_file_per_table[ON] innodb_flush_log_at_trx_commit[2] 
      innodb_flush_method[O_DIRECT] innodb_io_capacity[1000] innodb_lock_wait_timeout[5] 
      innodb_log_buffer_size[200M] innodb_log_file_size[4G] innodb_log_files_in_group[4] 
      innodb_max_dirty_pages_pct[60] innodb_open_files[60000] innodb_read_io_threads[8] 
      innodb_thread_concurrency[32] innodb_write_io_threads[8] 

-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
00:50:56|  2   0  98   0|    0     0     0      0     0|       0 100.00|   0    0    0    0|      0      0|      0      0      0      0|
00:51:06|  1   1  97   0|   19     0     0      0    19|  169705 100.00|   2    2    0    0|   9.6m     1k|      0      0      0      0|
00:51:16|  1   0  98   0|   13     0     0      0    13|  423017 100.00|   2    2    0    0|   6.8m  912.2|     20  35799  35679  35679|
00:51:26|  1   0  99   0|   19     0     0      0    19|  172954 100.00|   2    2    0    0|   9.8m     1k|     20  35992  35709  35709|
00:51:36|  1   0  98   0|   13     0     0      0    13|  422466 100.00|   2    2    0    0|   6.8m  912.4|     20  36241  35687  35687|
00:51:46|  1   0  99   0|   19     0     0      0    19|  171076 100.00|   2    2    0    0|   9.7m     1k|     20  35322  35219  35219|
00:51:56|  1   0  99   0|   15     0     0      0    15|  302636 100.00|   2    2    0    0|   7.7m 1013.1|      1  31449      0      0|
00:52:06|  1   0  99   0|   18     0     0      0    18|  295240 100.00|   2    2    0    0|   9.0m     1k|     19  35851  35736  35736|
00:52:17|  1   0  99   0|   19     0     0      0    19|  168720 100.00|   2    2    0    0|   9.5m     1k|     20  35688  35589  35589|
00:52:27|  1   0  98   0|   14     0     0      0    14|  428343 100.00|   2    2    0    0|   7.2m    947|     20  35562  35436  35436|
00:52:37|  1   0  99   0|   19     0     0      0    19|  170633 100.00|   2    2    0    0|   9.7m     1k|     19  35599  35501  35501|
00:52:47|  1   0  98   0|   13     0     0      0    13|  424198 100.00|   1    2    0    0|   6.9m  923.8|     19  35611  35509  35509|
00:52:57|  1   0  99   0|   19     0     0      0    19|  173625 100.00|   2    2    0    0|   9.9m     1k|     19  35576  35465  35465|
00:53:07|  1   0  98   0|   13     0     0      0    13|  424521 100.00|   1    2    0    0|   6.9m  923.9|     20  35593  35492  35492|
00:53:17|  1   0  99   0|   19     0     0      0    19|  170103 100.00|   2    2    0    0|   9.7m     1k|     20  35646  35525  35525|
-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
00:53:27|  1   0  99   0|   13     0     0      0    13|  422013 100.00|   2    2    0    0|   6.8m  906.5|     19 195381  34502  34502|
00:53:37|  1   0  99   0|   19     0     0      0    19|  170996 100.00|   2    2    0    0|   9.7m     1k|     20  35564  35457  35457|
00:53:47|  1   0  99   0|   15     0     0      0    15|  311766 100.00|   2    2    0    0|   7.6m 1001.6|      0      0      0      0|
00:53:57|  1   0  99   0|   18     0     0      0    18|  286299 100.00|   2    2    0    0|   9.2m     1k|     20  35472  35377  35377|
00:54:07|  1   0  99   0|   18     0     0      0    18|  166726 100.00|   2    2    0    0|   9.4m     1k|     16  49517  35714  35714|
00:54:17|  1   0  98   0|   14     0     0      0    14|  427924 100.00|   1    2    0    0|   7.1m  947.1|     20  35302  35194  35194|
00:54:27|  1   0  99   0|   19     0     0      0    19|  174509 100.00|   1    2    0    0|   9.9m     1k|     20  35529  35401  35401|
00:54:37|  1   0  99   0|   13     0     0      0    13|  422763 100.00|   1    2    0    0|   6.8m  912.3|     20  35201  35081  35081|
00:54:47|  1   0  99   0|   19     0     0      0    19|  175387 100.00|   1    2    0    0|   9.9m     1k|     20  35281  35177  35177|
00:54:57|  1   0  99   0|   14     0     0      0    14|  425403 100.00|   2    2    0    0|   7.0m  929.7|     20  35288  35161  35161|
00:55:07|  1   0  99   0|   19     0     0      0    19|  175390 100.00|   2    2    0    0|   9.9m     1k|     19  35338  35219  35219|
00:55:17|  1   0  98   0|   13     0     0      0    13|  421876 100.00|   1    2    0    0|   6.8m  912.3|     20  35486  35440  35440|
00:55:27|  1   0  99   0|   19     0     0      0    19|  174518 100.00|   2    2    0    0|   9.9m     1k|     20  35345  35223  35223|
00:55:37|  1   0  98   0|   13     0     0      0    13|  424195 100.00|   2    2    0    0|   6.8m  914.7|      1  30601      0      0|
00:55:47|  1   0  99   0|   19     0     0      0    19|  174821 100.00|   1    2    0    0|   9.9m     1k|     20  35250  34947  34947|
-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
00:55:57|  1   0  99   0|   17     0     0      0    17|  159278 100.00|   2    2    0    0|   8.6m     1k|      6  35056  34779  34779|
00:56:07|  1   0  99   0|   16     0     0      0    16|  442398 100.00|   1    2    0    0|   8.3m     1k|     20  34943  34841  34841|
00:56:17|  1   0  99   0|   19     0     0      0    19|  171862 100.00|   1    2    0    0|   9.7m     1k|     20  34997  34883  34883|
00:56:27|  1   0  99   0|   14     0     0      0    14|  426460 100.00|   2    2    0    0|   7.1m  935.5|     20  35191  35087  35087|
00:56:37|  1   0  99   0|   19     0     0      0    19|  172944 100.00|   2    2    0    0|   9.8m     1k|     20  35358  35248  35248|
00:56:47|  1   0  99   0|   14     0     0      0    14|  426796 100.00|   1    2    0    0|   7.0m  941.3|     19  35320  35205  35205|
00:56:57|  1   0  99   0|   19     0     0      0    19|  175116 100.00|   2    2    0    0|   9.9m     1k|     20  35386  35281  35281|
00:57:07|  1   0  99   0|   14     0     0      0    14|  426550 100.00|   2    2    0    0|   7.0m  935.5|     20  35360  35248  35248|
00:57:17|  1   0  99   0|   19     0     0      0    19|  170457 100.00|   2    2    0    0|   9.7m     1k|     20  35292  35174  35174|
00:57:27|  1   0  99   0|   14     0     0      0    14|  427009 100.00|   2    2    0    0|   7.1m  941.3|     15 222691  33646  33646|
00:57:37|  1   0  99   0|   19     0     0      0    19|  173264 100.00|   2    2    0    0|   9.8m     1k|     20  35335  35238  35238|
00:57:47|  1   0  98   0|   14     0     0      0    14|  362752 100.00|   2    2    0    0|   7.3m  972.7|      0      0      0      0|
00:57:57|  1   0  99   0|   19     0     0      0    19|  237687 100.00|   2    2    0    0|   9.6m     1k|     20  34989  34888  34888|
00:58:07|  1   0  99   0|   18     0     0      0    18|  160196 100.00|   2    2    0    0|   9.0m     1k|     15  52355  35915  35915|
00:58:17|  1   0  98   0|   15     0     0      0    15|  436822 100.00|   2    2    0    0|   7.7m   1011|     20  35372  35265  35265|
-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
00:58:27|  1   0  99   0|   19     0     0      0    19|  172744 100.00|   2    2    0    0|   9.8m     1k|     20  35360  35221  35221|
00:58:37|  1   0  98   0|   14     0     0      0    14|  425291 100.00|   2    2    0    0|   6.9m    924|     20  35016  34901  34901|
00:58:47|  1   0  99   0|   19     0     0      0    19|  175253 100.00|   2    2    0    0|   9.9m     1k|     20  35117  34997  34997|
00:58:57|  1   0  98   0|   13     0     0      0    13|  424071 100.00|   2    2    0    0|   6.9m    924|     19  35210  35099  35099|
00:59:07|  1   0  99   0|   19     0     0      0    19|  170800 100.00|   2    2    0    0|   9.7m     1k|     20  35225  35130  35130|
00:59:17|  1   0  99   0|   14     0     0      0    14|  425402 100.00|   1    2    0    0|   7.0m  929.9|     19  35468  35427  35427|
00:59:27|  1   0  99   0|   19     0     0      0    19|  173340 100.00|   2    2    0    0|   9.8m     1k|     20  35338  35216  35216|
00:59:37|  1   0  99   0|   14     0     0      0    14|  426764 100.00|   2    2    0    0|   7.0m  937.2|      1  30625      0      0|
00:59:47|  1   0  99   0|   19     0     0      0    19|  174320 100.00|   2    2    0    0|   9.9m     1k|     20  35303  35175  35175|
00:59:57|  1   0  99   0|   16     0     0      0    16|  235983 100.00|   2    2    0    0|   8.1m     1k|      2  34856  34735  34735|
01:00:07|  1   0  99   0|   17     0     0      0    17|  364800 100.00|   2    2    0    0|   8.8m     1k|     20  35194  35103  35103|
01:00:17|  1   0  99   0|   19     0     0      0    19|  170968 100.00|   2    2    0    0|   9.6m     1k|     20  35163  35061  35061|
01:00:27|  1   0  99   0|   13     0     0      0    13|  423176 100.00|   2    2    0    0|   6.9m  918.4|     20  35593  35197  35197|
01:00:37|  1   0  99   0|   19     0     0      0    19|  175870 100.00|   1    2    0    0|   9.9m     1k|     20  35231  35114  35114|
01:00:47|  1   0  98   0|   14     0     0      0    14|  426362 100.00|   2    2    0    0|   7.0m    930|     20  35145  35028  35028|
-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
01:00:57|  1   0  99   0|   19     0     0      0    19|  175164 100.00|   2    2    0    0|   9.9m     1k|     20  35225  35118  35118|
01:01:07|  1   0  99   0|   14     0     0      0    14|  426560 100.00|   1    2    0    0|   7.0m  941.6|     20  35077  34976  34976|
01:01:17|  1   0  99   0|   19     0     0      0    19|  170103 100.00|   1    2    0    0|   9.6m     1k|     20  35112  34963  34963|
01:01:27|  1   0  99   0|   14     0     0      0    14|  424717 100.00|   2    2    0    0|   7.0m  924.2|     20  35184  35144  35144|
01:01:37|  1   0  99   0|   19     0     0      0    19|  175495 100.00|   2    2    0    0|   9.9m     1k|     19  35070  34940  34940|
01:01:47|  1   0  99   0|   14     0     0      0    14|  427056 100.00|   2    2    0    0|   7.0m  938.4|      1  31222      0      0|
01:01:57|  1   0  99   0|   19     0     0      0    19|  174219 100.00|   2    2    0    0|   9.9m     1k|     20  35245  35119  35119|
01:02:07|  1   0  99   0|   17     0     0      0    17|  153838 100.00|   2    2    0    0|   8.6m     1k|      3  35062  34740  34740|
01:02:17|  1   0  99   0|   16     0     0      0    16|  441759 100.00|   2    2    0    0|   8.0m     1k|     20  35293  35176  35176|
01:02:28|  1   0  99   0|   19     0     0      0    19|  173625 100.00|   2    2    0    0|   9.9m     1k|     20  35139  35032  35032|
01:02:38|  1   0  98   0|   14     0     0      0    14|  426288 100.00|   1    2    0    0|   7.0m  935.8|     19  35243  35055  35055|
01:02:48|  1   0  99   0|   19     0     0      0    19|  175390 100.00|   1    2    0    0|   9.9m     1k|     20  35207  35098  35098|
01:02:58|  1   0  98   0|   13     0     0      0    13|  424523 100.00|   1    2    0    0|   6.9m  924.2|     20  35305  35217  35217|
01:03:08|  1   0  99   0|   19     0     0      0    19|  169574 100.00|   2    2    0    0|   9.6m     1k|     14  57332  36013  36013|
01:03:18|  1   0  98   0|   13     0     0      0    13|  424169 100.00|   1    2    0    0|   6.9m  924.2|     20  35273  35199  35199|
-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
01:03:28|  1   0  99   0|   19     0     0      0    19|  174511 100.00|   1    2    0    0|   9.9m     1k|     20  35186  35081  35081|
01:03:38|  1   0  98   0|   14     0     0      0    14|  425643 100.00|   2    2    0    0|   7.0m  925.1|     12 278437  33076  33076|
01:03:48|  1   0  99   0|   19     0     0      0    19|  175148 100.00|   2    2    0    0|   9.9m     1k|     20  35202  35099  35099|
01:03:58|  1   0  99   0|   15     0     0      0    15|  300370 100.00|   2    2    0    0|   7.8m     1k|      0      0      0      0|
01:04:08|  1   0  99   0|   17     0     0      0    17|  296151 100.00|   2    2    0    0|   8.9m     1k|     20  35330  35207  35207|
01:04:18|  1   0  99   0|   19     0     0      0    19|  171204 100.00|   2    2    0    0|   9.7m     1k|     20  35309  35214  35214|
01:04:28|  1   0  99   0|   14     0     0      0    14|  429588 100.00|   1    2    0    0|   7.2m    959|     20  35179  34957  34957|
01:04:38|  1   0  99   0|   19     0     0      0    19|  174510 100.00|   2    2    0    0|   9.9m     1k|     20  35861  35703  35703|
01:04:48|  1   0  98   0|   13     0     0      0    13|  421879 100.00|   2    2    0    0|   6.8m  906.8|     19  35517  35361  35361|
01:04:58|  1   0  99   0|   19     0     0      0    19|  174252 100.00|   2    2    0    0|   9.8m     1k|     19  35624  35532  35532|
01:05:08|  1   0  98   0|   13     0     0      0    13|  422132 100.00|   1    2    0    0|   6.8m  912.6|     20  35587  35479  35479|
01:05:18|  1   0  99   0|   19     0     0      0    19|  167458 100.00|   2    2    0    0|   9.5m     1k|     19  35466  35350  35350|
01:05:28|  1   0  98   0|   14     0     0      0    14|  425574 100.00|   2    2    0    0|   7.0m    930|     19 185330  34467  34467|
01:05:38|  1   0  99   0|   19     0     0      0    19|  174132 100.00|   2    2    0    0|   9.8m     1k|     19  35565  35455  35455|
01:05:48|  1   0  98   0|   14     0     0      0    14|  370345 100.00|   2    2    0    0|   7.3m  972.9|      1  31603      0      0|
-------- ---cpu-usage---                     -QPS- -TPS-         -Hit%- ------threads------ -----bytes---- --------tcprstat(us)-------- 
  time  |usr sys idl iow|  ins   upd   del    sel   iud|     lor    hit| run  con  cre  cac|   recv   send|  count    avg 95-avg 99-avg|
01:05:58|  1   0  99   0|   19     0     0      0    19|  228884 100.00|   1    2    0    0|   9.5m     1k|     20  35672  35507  35507|
01:06:08|  1   0  99   0|   18     0     0      0    18|  160947 100.00|   2    2    0    0|   9.1m     1k|     13  62496  36587  36587|
01:06:18|  1   0  99   0|   14     0     0      0    14|  430152 100.00|   1    2    0    0|   7.3m  964.8|     19  35819  35711  35711|
01:06:28|  1   0  99   0|   19     0     0      0    19|  172755 100.00|   2    2    0    0|   9.8m     1k|     20  35849  35730  35730|
